country.x,dataset_key.x,dataset_party_id.x,name_short.x,name.x,name_english.x,year_first.x,year_last.x,share.x,share_year.x,description.x,comment.x,created.x,modified.x,external_id.x,partyfacts_id,linked.x,country.y,dataset_key.y,dataset_party_id.y,name_short.y,name.y,name_english.y,year_first.y,year_last.y,share.y,share_year.y,description.y,comment.y,created.y,modified.y,external_id.y,linked.y
AUS,manifesto,63410,PUP,Palmer United Party,Palmer United Party,2013,2013,5.5,2013,NA,NA,2015-11-17T11:43:32Z,2023-06-05T10:39:50Z,15468,1996,2015-11-17T11:46:11Z,AUS,parlgov,2259,PUAP,Palmer United Australia Party,Palmer United Australia Party,2013,2022,5.5,2013,NA,NA,2014-02-08T21:29:53Z,2024-08-13T10:52:03Z,3906,2014-02-10T08:48:08Z
AUT,manifesto,42710,BZÖ,Bündnis Zukunft Österreich,Alliance for the Future of Austria,2006,2008,10.7,2008,NA,NA,2014-02-08T21:29:16Z,2023-06-05T10:39:48Z,3710,599,2014-02-09T13:26:45Z,AUT,parlgov,1536,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,2006,2013,10.7,2008,NA,NA,2012-12-30T23:36:11Z,2024-08-13T10:51:58Z,587,2012-12-30T23:40:57Z
AUT,manifesto,42430,NEOS,Das Neue Österreich und Liberales Forum,The New Austria and Liberal Forum,2013,2019,8.1,2019,NA,NA,2018-08-02T13:23:00Z,2023-06-05T10:39:55Z,25047,1970,2018-08-02T13:23:00Z,AUT,parlgov,2255,NEOS,NEOS – Das Neue Österreich,NEOS -- The New Austria,2013,2019,8.1,2019,NA,NA,2014-02-08T21:29:44Z,2024-08-13T10:51:54Z,3839,2014-02-09T21:33:20Z
AUT,manifesto,42110,GRÜNE,Die Grünen,The Greens,1986,2019,13.9,2019,NA,NA,2013-01-01T18:18:24Z,2023-06-05T10:39:58Z,2007,1659,2013-01-01T18:33:21Z,AUT,parlgov,1429,Gruene,Die Grünen – Die Grüne Alternative,The Greens -- The Green Alternative,1986,2019,13.9,2019,NA,NA,2012-12-30T23:36:00Z,2024-08-13T10:52:04Z,536,2012-12-30T23:40:59Z
AUT,manifesto,42420,FPÖ,Freiheitliche Partei Österreichs,Austrian Freedom Party,1949,2019,26.9,1999,NA,NA,2013-01-01T18:17:11Z,2023-06-05T10:39:45Z,1656,463,2013-01-01T18:33:23Z,AUT,parlgov,50,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,1949,2019,26.9,1999,NA,NA,2012-12-30T23:34:46Z,2024-08-13T10:52:00Z,153,2012-12-30T23:41:00Z
AUT,manifesto,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2002,2008,0.8,2008,NA,NA,2013-01-01T18:16:16Z,2023-06-05T10:39:59Z,1408,996,2014-02-15T22:47:37Z,AUT,parlgov,769,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,1945,2014,5.4,1945,NA,NA,2012-12-30T23:35:18Z,2024-08-13T10:51:53Z,326,2012-12-30T23:41:00Z
AUT,manifesto,42421,LIF,Liberales Forum,Liberal Forum,1994,1995,6,1994,NA,NA,2013-01-01T18:17:57Z,2023-06-05T10:39:55Z,1875,605,2013-01-01T18:33:22Z,AUT,parlgov,955,LIF,Liberales Forum,Liberal Forum,1994,2008,6,1994,NA,NA,2012-12-30T23:37:47Z,2024-08-13T10:52:06Z,1050,2012-12-30T23:41:01Z
AUT,manifesto,42120,PILZ,Liste Peter Pilz,Peter Pilz List,2017,2017,4.4,2017,NA,NA,2019-01-22T16:59:45Z,2023-06-05T10:39:47Z,29053,6137,2019-01-22T16:59:45Z,AUT,parlgov,2651,PILZ,JETZT – Liste Pilz,JETZT -- Pilz List,2017,2019,4.4,2017,NA,NA,2018-08-01T22:19:28Z,2024-08-13T10:52:00Z,25007,2018-08-23T10:29:17Z
AUT,manifesto,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,1949,2019,48.3,1966,NA,NA,2013-01-01T18:18:05Z,2023-06-05T10:39:45Z,1913,1329,2013-01-01T18:33:24Z,AUT,parlgov,1013,OVP,Österreichische Volkspartei,Austrian People's Party,1919,2019,49.8,1945,NA,NA,2012-12-30T23:36:43Z,2024-08-13T10:51:56Z,738,2015-07-27T16:13:41Z
AUT,manifesto,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,1949,2019,51,1979,NA,NA,2013-01-01T18:17:22Z,2023-06-05T10:39:49Z,1711,1384,2013-01-01T18:33:22Z,AUT,parlgov,973,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1919,2019,51,1979,NA,NA,2012-12-30T23:36:57Z,2024-08-13T10:51:54Z,798,2012-12-30T23:41:02Z
AUT,manifesto,42951,TS,Team Stronach für Österreich,Team Stronach for Austria,2013,2013,5.7,2013,NA,NA,2018-08-02T13:23:03Z,2023-06-05T10:40:01Z,25061,1971,2018-08-02T13:23:03Z,AUT,parlgov,2150,TS,Team Stronach,Team Stronach,2013,2013,5.7,2013,NA,NA,2014-02-08T21:29:40Z,2024-08-13T10:52:08Z,3804,2014-02-09T21:34:13Z
BEL,manifesto,21320,BSP/PSB,Belgische Socialistische Partij/Parti Socialiste Belge,Belgian Socialist Party,1946,1977,39,1954,NA,NA,2013-01-01T18:17:18Z,2023-06-05T10:39:47Z,1691,480,2013-01-01T18:33:25Z,BEL,parlgov,167,BSP-PSB,Belgische Socialistische Partij – Parti Socialiste Belge,Belgian Socialist Party,1946,1977,37.3,1954,NA,NA,2012-12-30T23:36:30Z,2024-08-13T10:52:08Z,677,2012-12-30T23:41:05Z
BEL,manifesto,21522,cdH,Centre démocrate humaniste,Humanist Democratic Centre,1968,2014,11.7,1968,NA,NA,2013-01-01T18:18:16Z,2023-06-05T10:39:40Z,1966,633,2013-01-01T18:33:29Z,BEL,parlgov,1192,PSC-CDH,Parti Social Chrétien – Centre Democrate Humaniste,Francophone Christian Social Party -- Humanist Democratic Centre,1968,2019,11.7,1968,NA,NA,2012-12-30T23:38:45Z,2024-08-13T10:51:53Z,1330,2012-12-30T23:41:14Z
BEL,manifesto,21521,CD&V,Christen-Democratisch en Vlaams,Christian Democratic and Flemish,1968,2019,26.2,1977,NA,NA,2013-01-01T18:17:15Z,2023-06-05T10:39:57Z,1679,622,2013-01-01T18:33:25Z,BEL,parlgov,723,CVP|CD&V,Christelijke Volkspartij | Christen-Democratisch en Vlaams,Flemish Christian Peoples Party | Christian Democrats & Flemish,1968,2019,26.2,1977,NA,NA,2012-12-30T23:38:22Z,2024-08-13T10:52:08Z,1213,2012-12-30T23:41:06Z
BEL,manifesto,21912,DéFI,Démocrate fédéraliste indépendant,"Democratic, Federalist,  Independent",1965,2014,4.5,1971,NA,NA,2013-01-01T18:18:09Z,2023-06-05T10:39:45Z,1935,698,2013-01-01T18:33:26Z,BEL,parlgov,969,FDF,Front Démocratique des Francophones | DéFI,Francophone Democratic Front,1965,2019,5,1974,NA,NA,2012-12-30T23:36:45Z,2024-08-13T10:52:00Z,745,2012-12-30T23:41:08Z
BEL,manifesto,21913,VU,De Volksunie,Peoples’ Union,1954,1995,11.1,1971,NA,NA,2013-01-01T18:17:03Z,2023-06-05T10:39:41Z,1623,1424,2020-04-18T01:49:11Z,BEL,parlgov,290,VU,Volksunie,People's Union,1949,1999,11.1,1971,NA,NA,2012-12-30T23:36:27Z,2024-08-13T10:52:02Z,663,2012-12-30T23:41:21Z
BEL,manifesto,21915,VU-ID21,De Volksunie –Integrale Democratie voor de 21ste Eeuw,People’s Union - Complete Democracy for the 21st century,1999,1999,5.6,1999,NA,NA,2013-01-01T18:18:13Z,2023-06-05T10:39:54Z,1953,1424,2016-08-03T09:15:05Z,BEL,parlgov,290,VU,Volksunie,People's Union,1949,1999,11.1,1971,NA,NA,2012-12-30T23:36:27Z,2024-08-13T10:52:02Z,663,2012-12-30T23:41:21Z
BEL,manifesto,21111,ECOLO,Écologistes Confédérés pour l’Organisation de Luttes Originales,Ecologists,1981,2010,7.4,1999,NA,NA,2013-01-01T18:17:29Z,2023-06-05T10:39:52Z,1740,1563,2013-01-01T18:33:32Z,BEL,parlgov,161,Ecolo,Écologistes Confédérés pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,1979,2019,7.3,1999,NA,NA,2012-12-30T23:38:07Z,2024-08-13T10:52:01Z,1148,2012-12-30T23:41:23Z
BEL,manifesto,21112,groen!,Groen!,Green!,1981,2019,7,1999,NA,NA,2013-01-01T18:17:36Z,2023-06-05T10:40:03Z,1776,528,2013-01-01T18:33:24Z,BEL,parlgov,1594,AGL-Gr,Agalev – Groen,Agalev -- Green,1979,2019,7,1999,NA,NA,2012-12-30T23:35:43Z,2024-08-13T10:52:02Z,451,2012-12-30T23:41:05Z
BEL,manifesto,21430,LDD,Lijst Dedecker,List Dedecker,2007,2010,4,2007,NA,NA,2014-02-08T21:29:17Z,2023-06-05T10:39:53Z,3728,43,2014-02-09T14:31:06Z,BEL,parlgov,221,LD|LDD,"Lijst Dedecker | Libertair, Direct, Democratisch","List Dedecker | Libertarian, Direct, Democratic",2007,2010,4,2007,NA,NA,2012-12-30T23:36:34Z,2024-08-13T10:52:03Z,700,2012-12-30T23:41:11Z
BEL,manifesto,21426,MR,Mouvement Réformateur,Reform Movement,2003,2014,12.5,2007,NA,NA,2014-02-08T21:29:12Z,2023-06-05T10:40:03Z,3640,789,2014-02-09T14:30:57Z,BEL,parlgov,915,MR,Mouvement Réformateur,Reformist Movement,2003,2019,12.5,2007,NA,NA,2012-12-30T23:37:24Z,2024-08-13T10:52:03Z,934,2012-12-30T23:41:12Z
BEL,manifesto,21916,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,2003,2019,20.3,2014,NA,NA,2014-02-08T21:29:15Z,2023-06-05T10:40:02Z,3694,36,2014-02-09T22:56:07Z,BEL,parlgov,501,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,2003,2019,20.3,2014,NA,NA,2012-12-30T23:37:57Z,2024-08-13T10:51:59Z,1097,2012-12-30T23:41:13Z
BEL,manifesto,21421,openVLD,Open Vlaamse Liberalen en Demokraten,Open Flemish Liberals and Democrats,1971,2019,15.4,2003,NA,NA,2013-01-01T18:16:54Z,2023-06-05T10:39:58Z,1580,49,2013-01-01T18:33:30Z,BEL,parlgov,1110,PVV|VLD,Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten,Party of Liberty and Progress | Flemish Liberals and Democrats,1971,2019,15.4,2003,NA,NA,2012-12-30T23:36:32Z,2024-08-13T10:52:05Z,685,2015-08-05T13:01:12Z
BEL,manifesto,21230,PTB/PVDA,Partij van de Arbeid van België/Parti du Travail de Belgique,Workers' Party of Belgium,2014,2019,8.6,2019,NA,NA,2023-06-05T10:39:52Z,2023-06-05T10:39:52Z,59090,1753,2023-06-05T10:39:52Z,BEL,parlgov,256,PA-PTB,Partij van de Arbeid – Parti du Travail de Belgique,Workers' Party of Belgium,1974,2019,8.6,2019,NA,NA,2012-12-30T23:37:20Z,2024-08-13T10:52:09Z,913,2012-12-30T23:41:17Z
BEL,manifesto,21420,PVV/PLP,Partij voor Vrijheid en Vooruitgang/Parti de la Liberté et du Progrès,Party of Liberty and Progress,1946,1968,21.6,1965,NA,NA,2013-01-01T18:18:29Z,2023-06-05T10:39:54Z,2031,275,2013-01-01T18:33:27Z,BEL,parlgov,63,LP-PL,Liberale Partij – Parti libéral,Liberal Party,1900,1968,27.6,1908,NA,NA,2012-12-30T23:36:41Z,2024-08-13T10:52:03Z,730,2012-12-30T23:41:11Z
BEL,manifesto,21424,PL,Parti Libéral,Liberal Party,1971,1978,1.3,1971,NA,NA,2013-01-01T18:16:24Z,2023-06-05T10:39:59Z,1440,382,2013-01-01T18:33:28Z,BEL,parlgov,640,PL(B),Parti Libéral [Région bruxelloise],Liberal Party [Brussels Region],1971,1978,1.3,1971,NA,NA,2012-12-30T23:37:43Z,2024-08-13T10:51:51Z,1028,2012-12-30T23:41:13Z
BEL,manifesto,21710,PP,Parti Populaire,People's Party,2014,2014,1.5,2014,NA,NA,2023-06-05T10:39:52Z,2023-06-05T10:39:52Z,59091,639,2023-06-05T10:39:52Z,BEL,parlgov,438,Pp,Parti populaire,People's Party,2010,2019,1.5,2014,NA,NA,2012-12-30T23:38:38Z,2024-08-13T10:52:08Z,1292,2012-12-30T23:41:16Z
BEL,manifesto,21422,PRL,Parti Réformateur Libéral,Liberal Reformation Party,1971,1991,10.2,1985,NA,NA,2013-01-01T18:18:08Z,2023-06-05T10:39:59Z,1928,554,2014-02-15T22:47:37Z,BEL,parlgov,454,PRL,Parti Réformateur Libéral,Liberal Reformist Party,1971,1999,10.3,1995,NA,NA,2012-12-30T23:34:49Z,2024-08-13T10:51:59Z,172,2012-12-30T23:41:13Z
BEL,manifesto,21520,PSC/CVP,Parti Social Chrétien/Christelijke Volkspartij,Francophone Christian Social Party and Flemish Christian People’s Party,1946,1965,47.7,1950,NA,NA,2013-01-01T18:17:29Z,2023-06-05T10:39:48Z,1744,405,2013-01-01T18:33:29Z,BEL,parlgov,1051,PSC-CVP,Parti Social Chrétien – Christelijke Volkspartij,Francophone Christian Social Party and Flemish Christian People's Party,1946,1965,47.7,1950,NA,NA,2012-12-30T23:35:21Z,2024-08-13T10:51:54Z,339,2012-12-30T23:41:15Z
BEL,manifesto,21322,PS,Parti Socialiste,Francophone Socialist Party,1978,2014,15.7,1987,NA,NA,2013-01-01T18:17:16Z,2023-06-05T10:39:49Z,1680,500,2013-01-01T18:33:29Z,BEL,parlgov,1378,PS,Parti Socialiste,Socialist Party [Francophone],1978,2019,15.7,1987,NA,NA,2012-12-30T23:38:13Z,2024-08-13T10:52:10Z,1171,2012-12-30T23:41:15Z
BEL,manifesto,21911,RW,Rassemblement Wallon,Walloon Rally,1968,1981,6.7,1971,NA,NA,2013-01-01T18:18:03Z,2023-06-05T10:39:45Z,1904,281,2013-01-01T18:33:31Z,BEL,parlgov,460,RW,Rassemblement Wallon,Walloon Rally,1968,1981,6.7,1971,NA,NA,2012-12-30T23:38:51Z,2024-08-13T10:51:59Z,1356,2012-12-30T23:41:18Z
BEL,manifesto,21321,sp.a,Socialistische Partij Anders,Socialist Party Different,1978,2019,14.9,1987,NA,NA,2013-01-01T18:16:17Z,2023-06-05T10:39:54Z,1410,1680,2013-01-01T18:33:24Z,BEL,parlgov,1029,SP,Socialistische Partij,Socialist Party,1978,2019,14.9,1987,NA,NA,2012-12-30T23:37:08Z,2024-08-13T10:52:03Z,854,2012-12-30T23:41:19Z
BEL,manifesto,21221,sp.a-SPIRIT,Socialistische Partij Anders - Spirit,Socialist Party Different - Spirit,2003,2007,14.9,2003,NA,NA,2014-02-08T21:29:18Z,2023-06-05T10:39:58Z,3744,1586,2014-02-09T14:30:29Z,BEL,parlgov,1113,SPa+Spi,Socialistische Partij Anders / Sociaal-Liberale Partij,Socialist Party Different / Social Liberal Party,2003,2007,14.9,2003,NA,NA,2012-12-30T23:35:08Z,2024-08-13T10:52:02Z,270,2012-12-30T23:41:19Z
BEL,manifesto,21914,VB,Vlaams Blok,Flemish Bloc,1978,2003,11.7,2003,NA,NA,2013-01-01T18:16:33Z,2023-06-05T10:39:46Z,1484,553,2013-01-01T18:33:31Z,BEL,parlgov,993,VB,Vlaams Blok | Vlaams Belang,Flemish Block | Flemish Interest,1978,2019,12,2007,NA,NA,2012-12-30T23:34:27Z,2024-08-13T10:51:55Z,46,2012-12-30T23:41:20Z
BGR,manifesto,80330,ABV,Alternativa za balgarsko vazrazhdane,Alternative for Bulgarian Revival,2014,2014,4.1,2014,NA,NA,2018-08-02T13:23:01Z,2023-06-05T10:39:42Z,25050,3187,2018-08-02T13:23:01Z,BGR,parlgov,2364,ABV,Alternativa za balgarsko vazrazhdane,Alternative for Bulgarian Revival,2014,2017,4.2,2014,NA,NA,2014-11-13T18:36:11Z,2024-08-13T10:52:07Z,8082,2015-01-17T14:44:34Z
BGR,manifesto,80630,BBZ,Balgariya bez tsenzura,Bulgaria without Censorship,2014,2014,5.7,2014,NA,NA,2018-08-02T13:23:00Z,2023-06-05T10:39:40Z,25045,3188,2018-08-02T13:23:00Z,BGR,parlgov,2362,BBZ,Balgarija bes Zensura,Bulgaria Without Censorship,2014,2014,5.7,2014,NA,NA,2014-11-13T18:36:12Z,2024-08-13T10:52:06Z,8083,2015-01-17T14:45:00Z
BGR,manifesto,80220,BSP,Balgarska Socialisticheska Partiya,Bulgarian Socialist Party,1990,2013,47.2,1990,NA,NA,2013-01-01T18:16:42Z,2023-06-05T10:39:39Z,1524,757,2013-01-01T18:33:33Z,BGR,parlgov,982,BSP,Balgarska Sotsialisticheska Partiya,Bulgarian Socialist Party,2022,2023,9.3,2022,NA,NA,2012-12-30T23:37:48Z,2024-08-13T10:52:00Z,1053,2012-12-30T23:41:24Z
BGR,manifesto,80901,BBB,Balgarski Biznes Blok,Bulgarian Business Bloc,1994,1997,4.9,1997,NA,NA,2013-01-01T18:16:35Z,2023-06-05T10:40:01Z,1493,1027,2013-01-01T18:33:33Z,BGR,parlgov,599,BBB,Balgarski Biznes Blok,Bulgarian Business Bloc,1991,1997,5.3,1997,NA,NA,2012-12-30T23:34:34Z,2024-08-13T10:51:58Z,82,2012-12-30T23:41:23Z
BGR,manifesto,80813,BNS,Balgarski Naroden Sayuz,Bulgarian People's Union,2005,2005,5.2,2005,NA,NA,2014-02-08T21:29:09Z,2023-06-05T10:39:48Z,3590,263,2014-02-09T16:59:50Z,BGR,parlgov,1375,BNS,Balgarski Naroden Suyuz,Bulgarian People's Union,2005,2007,5.2,2005,NA,NA,2012-12-30T23:34:26Z,2024-08-13T10:51:57Z,36,2012-12-30T23:41:24Z
BGR,manifesto,80810,BZNS,Balgarski Zemedelski Naroden Sayuz,Bulgarian Agrarian National Union,1990,1990,6,1990,NA,NA,2013-01-01T18:16:59Z,2023-06-05T10:39:40Z,1604,2060,2018-02-03T11:47:09Z,BGR,parlgov,2173,BZNS-NP,"Balgarski Zemedelski Naroden Suyuz – ""Nikola Petkov""","Bulgarian Agrarian National Union -- ""Nikola Petkov""",1991,1991,3.4,1991,NA,NA,2014-02-08T21:29:46Z,2024-08-13T10:52:06Z,3850,2014-02-23T22:57:49Z
BGR,manifesto,80812,BZNS-AS,Balgarski Zemedelski Naroden Sayuz - Aleksandar Stambolijski,Bulgarian Agrarian People’s Union - Alexandar Stambolijski,1994,1994,0,1994,NA,NA,2013-01-01T18:17:42Z,2023-06-05T10:40:01Z,1803,2635,2018-11-11T19:04:40Z,BGR,parlgov,2177,PS,Patriotichen Suyuz,Patriotic Union,1994,1994,1.4,1994,NA,NA,2014-02-08T21:29:58Z,2024-08-13T10:51:52Z,3940,2021-03-12T14:27:28Z
BGR,manifesto,80221,BSPzB,BSP za Balgariya,BSP for Bulgaria,2001,2017,31,2005,NA,NA,2013-01-01T18:16:52Z,2023-06-05T10:40:00Z,1570,1665,2013-01-01T18:33:35Z,BGR,parlgov,1160,KzB|DL,Koalitsiya za Balgariya | Demokratichna Levitsa,Coalition for Bulgaria | Democratic Left,1991,2021,43.5,1994,NA,NA,2012-12-30T23:34:36Z,2024-08-13T10:51:57Z,96,2012-12-30T23:41:28Z
BGR,manifesto,80229,DL,Demokratichna Levitsa,Democratic Left,1997,1997,22.1,1997,NA,composed of: BSP Bulgarska Socialisticheska Partiya (Bulgarian Socialist Party) BZNS-AS Bulgarski Zemedelski Naroden Sajuz - Aleksander Stanboliynski (Bulgarian Agrarian People’s Union - Alexander Stamboliysky) DE Dvisenie Ekoglasnost (Movement Ekoglasnost),2013-01-01T18:18:25Z,2023-06-05T10:39:39Z,2012,1665,2014-06-28T09:00:02Z,BGR,parlgov,1160,KzB|DL,Koalitsiya za Balgariya | Demokratichna Levitsa,Coalition for Bulgaria | Democratic Left,1991,2021,43.5,1994,NA,NA,2012-12-30T23:34:36Z,2024-08-13T10:51:57Z,96,2012-12-30T23:41:28Z
BGR,manifesto,80610,DSB,Demokrati za Silna Balgariya,Democrats for a Strong Bulgaria,2005,2005,6.4,2005,NA,NA,2014-02-08T21:29:21Z,2023-06-05T10:39:56Z,3781,1195,2014-02-10T10:24:10Z,BGR,parlgov,57,DSB|DB,Demokrati za Silna Balgariya | Demokratichna Balgariya,Democrats for a Strong Bulgaria | Democratic Bulgaria,2005,2021,12.6,2021,NA,NA,2012-12-30T23:38:26Z,2024-08-13T10:51:59Z,1233,2012-12-30T23:41:25Z
BGR,manifesto,80951,DPS,Dvizhenie za Prava i Svobodi,Movement for Rights and Freedoms,1990,2017,14.8,2014,NA,NA,2013-01-01T18:16:17Z,2023-06-05T10:39:40Z,1409,982,2013-01-01T18:33:35Z,BGR,parlgov,1286,DPS,Dvizhenie za Prava i Svobodi,Movement for Rights and Freedoms,1991,2023,14.8,2014,NA,NA,2012-12-30T23:35:05Z,2024-08-13T10:52:05Z,255,2012-12-30T23:41:26Z
BGR,manifesto,80510,GERB,Grazhdani za Evropeisko Razvitie Balgariya,Citizens for European Development of Bulgaria,2009,2017,39.7,2009,NA,NA,2014-02-08T21:29:12Z,2023-06-05T10:39:51Z,3637,760,2014-02-10T10:23:48Z,BGR,parlgov,1541,GERB,Grazhdani za Evropeysko Razvitie na Balgariya,Citizens for European Development of Bulgaria,2007,2023,39.7,2009,NA,NA,2012-12-30T23:35:07Z,2024-08-13T10:52:09Z,266,2012-12-30T23:41:27Z
BGR,manifesto,80320,KEL,Koalitsiya Evrolevitsa,Euroleft Coalition,1997,1997,5.5,1997,NA,NA,2013-01-01T18:17:11Z,2023-06-05T10:39:50Z,1657,149,2013-01-01T18:33:35Z,BGR,parlgov,710,BE,Balgarska Evrolevica,Euro-Left Coalition,1997,1997,5.6,1997,NA,NA,2012-12-30T23:34:46Z,2024-08-13T10:52:02Z,151,2012-12-30T23:41:27Z
BGR,manifesto,80228,BSP-BZNS-AS-PKE,"Koalitsiya na Balgarska Sotsialisticheska Partiya, Balgarski Zemedelski Naroden Sayuz - Aleksandar Stambolijski i Politicheski klub 'Ekoglasnost'","Coalition of Bulgarian Socialist Party, Bulgarian Agrarian People’s Union - Alexandar Stambolijski and Political Club 'Ekoglasnost'",1991,1994,43.5,1994,NA,composed of: BSP Bulgarska Socialisticheska Partiya (Bulgarian Socialist Party) and eight minor parties,2013-01-01T18:17:38Z,2023-06-05T10:39:40Z,1782,1665,2014-06-28T09:01:18Z,BGR,parlgov,1160,KzB|DL,Koalitsiya za Balgariya | Demokratichna Levitsa,Coalition for Bulgaria | Democratic Left,1991,2021,43.5,1994,NA,NA,2012-12-30T23:34:36Z,2024-08-13T10:51:57Z,96,2012-12-30T23:41:28Z
BGR,manifesto,80902,NDSV,Nacionalno Dvizhenie Simeon Vtori,National Movement Simeon the Second,2001,2005,42.7,2001,NA,NA,2013-01-01T18:17:36Z,2023-06-05T10:39:51Z,1775,374,2013-01-01T18:33:36Z,BGR,parlgov,544,NDSV,Natsionalno Dvizhenie Simeon Vtori,National Movement Simeon II,2001,2019,42.7,2001,NA,NA,2012-12-30T23:35:32Z,2024-08-13T10:52:05Z,399,2012-12-30T23:41:30Z
